Id,Area,COUNT,MIN,MAX,RANGE,MEAN,STD,SUM,volume,mean_depth,cat_area,dep2catR,Downstream,simu_depth,rain_inten,time_inund,rank,Shape_Leng,Shape_Area,Perimeter,Max_depth,depth_inde,MinBdAr,depConcav,LenLonAx,MBG_Width,MBG_Length,MBG_Orient,Circular,Compact,Elong
261,2165.00000045,2165,2316.83691406,2318.41479492,1.57788085938,2317.54373963,0.43566281206,5017482.19629,1885.83,0.871053,43042,0.0502997,292,0.0438137,0.05,0.876274,453,242,2165,242,1.57788,0.106536,3377.16113662,-1.86651,65.5739,50.002470527,58.6796888399,130.601294645,0.464555,0.641071,1.17354
262,262.000000057,262,2308.46606445,2308.92480469,0.45874023438,2308.76264499,0.1163376301,604895.812988,42.4858,0.16216,6024,0.0434927,248,0.00705276,0.05,0.141055,282,102,262,102,0.45874,0.089036,1055.93635153,-2.08779,36.6669,12.6491106407,36.3661930919,108.434948823,0.316454,0.248121,2.875
267,239.000000051,239,2326.02075195,2326.53637695,0.515625,2326.2965614,0.13656032128,555984.878174,57.3159,0.239815,9910,0.0241171,292,0.00578364,0.05,0.115673,263,184,239,184,0.515625,0.104782,3423.74604387,-11.4184,66.0246,8.74347894551,65.9735229516,119.475889003,0.0887099,0.0698066,7.54545
272,233.000000047,233,2269.31152344,2269.80688477,0.49536132813,2269.58416879,0.12836392829,528813.111328,51.8928,0.222716,95719,0.00243421,244,0.000542137,0.05,0.0108427,86,76,233,76,0.495361,0.101952,384.977170776,-1.7382,22.1397,14.7580486517,21.4662525841,63.4349488227,0.506919,0.605231,1.45455
277,231.000000049,231,2301.22119141,2301.62109375,0.39990234375,2301.44930964,0.09720947052,531634.790527,39.6821,0.171784,710712,0.000325026,195,0.0000558343,0.05,0.00111669,25,134,231,134,0.399902,0.0826604,2057.70199059,-7.10823,51.1854,7.82719718709,51.1177951195,99.2461127458,0.161664,0.112261,6.53079
278,331.000000068,331,2321.60522461,2321.90917969,0.30395507813,2321.78286015,0.06993768595,768510.126709,41.8118,0.12632,8253,0.0401066,401,0.00506625,0.05,0.101325,251,132,331,132,0.303955,0.0524862,1448.47774615,-1.9003,42.9448,17.5578845634,42.4560218709,86.6335393365,0.238721,0.228516,2.41806
279,467.000000098,467,2290.11181641,2290.83105469,0.71923828125,2290.56779111,0.14693809404,1069695.15845,122.944,0.263263,160758,0.00290499,275,0.000764777,0.05,0.0152955,110,128,467,128,0.719238,0.10456,1339.35123844,-1.69593,41.2955,20.9367421012,40.8744280444,2.48955292202,0.358185,0.348676,1.95228
280,11116.0000023,11116,2303.31176758,2318.64208984,15.3303222656,2310.37261363,4.49749335753,25682101.973100003,91923.5,8.26948,16841,0.660056,401,5.45832,0.05,109.166,590,486,11116,486,15.3303,0.4568,12677.850091,-2.0538,127.051,113.732750841,126.966745471,5.71059313753,0.591406,0.876805,1.11636
281,1371.00000028,1371,2307.68457031,2311.12573242,3.44116210938,2310.43279687,0.60272093168,3167603.3645,950.015,0.692936,141502,0.00968891,273,0.00671379,0.05,0.134276,278,236,1371,236,3.44116,0.291968,4230.81115121,-1.36178,73.3951,34.5312914543,69.9702395181,41.7295120768,0.309331,0.324051,2.02628
282,17586.0000037,17586,2282.25854492,2284.0168457,1.75830078125,2283.11004907,0.44099860907,40150773.323,15946.9,0.906795,44863,0.391993,53,0.355458,0.05,7.10916,553,674,17586,674,1.7583,0.0416542,26228.0458229,-0.20522,182.742,137.320053744,178.349430248,35.8376529543,0.486471,0.670504,1.29879
